name,mainCategory,subCategory,image,link,ratings,noOfRatings,discountPrice,actualPrice,category,matched_bb_product,match_score
Savlon Deep Clean Handwash Pump 200ml,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/100140858_7-figaro-pure-olive-oil.jpg,https://www.amazon.in/dp/B0000179,4.2,1200,75,85,hand wash,Figaro Olive Oil- Pure Olive Oil-Ideal for Indian Dishes- Imported from Spain- 200ml Tin,210.0
Dettol Liquid Handwash Refill - Skincare 1500ml,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/266112_17-maggi-2-minute-instant-noodles-masala.jpg,https://www.amazon.in/dp/B0000180,4.4,3200,210,235,hand wash,2-Minute Instant Noodles - Masala,150.0
Lifebuoy Lemon Fresh Hand Wash Refill 1500ml,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40251515_2-fresho-frozen-sweet-corn-preservative-free-fresh-juicy-kernels.jpg,https://www.amazon.in/dp/B0000181,4.3,1900,185,210,hand wash,"Frozen Sweet Corn - Preservative Free, Fresh & Juicy Kernels",210.0
Lay's American Style Cream & Onion Potato Chips 50g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/254368_17-bingo-potato-chips-cream-onion.jpg,https://www.amazon.in/dp/B0000182,4.3,16500,18,20,chips,"Potato Chips - Cream & Onion, Crispy & Crunchy, Pack For Snacks",440.0
Lay's Classic Salted Potato Chips 50g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40217410_1-too-yul-potato-chips-classic-salted.jpg,https://www.amazon.in/dp/B0000183,4.2,14200,18,20,chips,Potato Chips - Classic Salted,440.0
Lay's India's Magic Masala Potato Chips 50g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40217416_2-too-yul-potato-chips-indian-masala.jpg,https://www.amazon.in/dp/B0000184,4.3,18500,18,20,chips,Potato Chips - Indian Masala,380.0
Lay's Spanish Tomato Tango Potato Chips 50g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/254368_17-bingo-potato-chips-cream-onion.jpg,https://www.amazon.in/dp/B0000185,4.2,9500,18,20,chips,"Potato Chips - Cream & Onion, Crispy & Crunchy, Pack For Snacks",320.0
Pringles Sour Cream & Onion Potato Chips 107g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40034810_4-pringles-potato-crisps-sour-cream-and-onion.jpg,https://www.amazon.in/dp/B0000186,4.4,6200,99,110,chips,Potato Crisps - Sour Cream and Onion,500.0
Pringles Original Potato Chips 107g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40034809_5-pringles-potato-chips-simple-snack-original-flavour.jpg,https://www.amazon.in/dp/B0000187,4.3,4800,99,110,chips,"Potato Chips - Simple Snack, Original Flavour",440.0
Doritos Nacho Cheese Tortilla Chips 150g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40196817_3-tasties-nacho-chips-cheese.jpg,https://www.amazon.in/dp/B0000188,4.4,5300,85,95,chips,Nacho Chips - Cheese,380.0
Too Yumm! Karare Munchy Masala Chips 75g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40217416_2-too-yul-potato-chips-indian-masala.jpg,https://www.amazon.in/dp/B0000189,4.1,3100,32,35,chips,Potato Chips - Indian Masala,440.0
Bingo! Tedhe Medhe Masala Tadka Chips 100g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/294274_16-bingo-mad-angles-achari-masti.jpg,https://www.amazon.in/dp/B0000190,4.2,2800,45,50,chips,"Mad Angles – Achaari Masti,Crunchy Triangle Chips Perfect for Snacking",320.0
Lay's Hot 'n' Sweet Chilli Potato Chips 50g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1212654_1-tasties-nacho-chips-party-pack-jalapeno-cheese-peri-peri-sweet-chilli-60-g.jpg,https://www.amazon.in/dp/B0000191,4.2,1900,18,20,chips,Nacho Chips Party Pack- Jalapeno + Cheese + Peri-Peri + Sweet Chilli (60 g),380.0
Pringles Desi Masala Tadka Chips 107g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40217416_2-too-yul-potato-chips-indian-masala.jpg,https://www.amazon.in/dp/B0000192,4.3,1100,99,110,chips,Potato Chips - Indian Masala,320.0
Bingo! Mad Angles Tomato Madness Chips 80g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/294274_16-bingo-mad-angles-achari-masti.jpg,https://www.amazon.in/dp/B0000193,4.1,1500,35,40,chips,"Mad Angles – Achaari Masti,Crunchy Triangle Chips Perfect for Snacking",440.0
Maggi 2-Minute Masala Noodles 420g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/266112_17-maggi-2-minute-instant-noodles-masala.jpg,https://www.amazon.in/dp/B0000194,4.5,24500,105,112,noodles,2-Minute Instant Noodles - Masala,500.0
Yippee Classic Masala Noodles 360g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/266112_17-maggi-2-minute-instant-noodles-masala.jpg,https://www.amazon.in/dp/B0000195,4.3,14200,88,96,noodles,2-Minute Instant Noodles - Masala,320.0
Ching's Secret Schezwan Instant Noodles 240g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/266112_17-maggi-2-minute-instant-noodles-masala.jpg,https://www.amazon.in/dp/B0000196,4.2,6500,56,60,noodles,2-Minute Instant Noodles - Masala,320.0
Nissin Gekikara Ramen Hot Spicy Noodles 100g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/310178_4-top-ramen-noodles-curry-veg.jpg,https://www.amazon.in/dp/B0000197,4.4,3100,45,49,noodles,Noodles - Curry Veg,320.0
Top Ramen Curry Instant Noodles 280g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/310178_4-top-ramen-noodles-curry-veg.jpg,https://www.amazon.in/dp/B0000198,4.1,4300,74,80,noodles,Noodles - Curry Veg,440.0
Maggi 2-Minute Oats Masala Noodles 290g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/266112_17-maggi-2-minute-instant-noodles-masala.jpg,https://www.amazon.in/dp/B0000199,4.3,3800,85,95,noodles,2-Minute Instant Noodles - Masala,500.0
Ching's Secret Singapore Curry Noodles 240g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/310178_4-top-ramen-noodles-curry-veg.jpg,https://www.amazon.in/dp/B0000200,4.1,1900,55,60,noodles,Noodles - Curry Veg,320.0
Nissin Cup Noodles Spicy Chunky Chicken 80g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/266112_17-maggi-2-minute-instant-noodles-masala.jpg,https://www.amazon.in/dp/B0000201,4.3,2800,42,45,noodles,2-Minute Instant Noodles - Masala,210.0
Maggi 2-Minute Spicy Chicken Noodles 280g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/266112_17-maggi-2-minute-instant-noodles-masala.jpg,https://www.amazon.in/dp/B0000202,4.2,1500,85,92,noodles,2-Minute Instant Noodles - Masala,440.0
Yippee Mood Masala Noodles 280g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/266112_17-maggi-2-minute-instant-noodles-masala.jpg,https://www.amazon.in/dp/B0000203,4.2,1200,75,80,noodles,2-Minute Instant Noodles - Masala,320.0
Wai Wai Ready to Eat Masala Noodles 350g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40209299_2-aashirvaad-instant-veggie-upma-with-vegetables.jpg,https://www.amazon.in/dp/B0000204,4.3,2400,78,85,noodles,"Instant Veggie Upma - Ready To Eat, Wholesome Breakfast",380.0
Maggi 2-Minute Whole Wheat Masala Noodles 280g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/266112_17-maggi-2-minute-instant-noodles-masala.jpg,https://www.amazon.in/dp/B0000205,4.3,1800,88,96,noodles,2-Minute Instant Noodles - Masala,500.0
Amul Malai Paneer Block 200g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40137178_1-amul-dark-chocolate-single-origin-india.jpg,https://www.amazon.in/dp/B0000206,4.5,12400,82,85,paneer,"Dark Chocolate - Single Origin, India",210.0
Mother Dairy Classic Paneer Block 200g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1212499_1-cadbury-dairy-milk-chocolate-home-treats-pack.jpg,https://www.amazon.in/dp/B0000207,4.4,8500,84,88,paneer,Chocolate Home - Treats Pack,210.0
Milky Mist Fresh Paneer Block 200g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40251515_2-fresho-frozen-sweet-corn-preservative-free-fresh-juicy-kernels.jpg,https://www.amazon.in/dp/B0000208,4.4,6200,92,98,paneer,"Frozen Sweet Corn - Preservative Free, Fresh & Juicy Kernels",210.0
Nandini Fresh Paneer 200g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40251515_2-fresho-frozen-sweet-corn-preservative-free-fresh-juicy-kernels.jpg,https://www.amazon.in/dp/B0000209,4.2,3100,78,82,paneer,"Frozen Sweet Corn - Preservative Free, Fresh & Juicy Kernels",210.0
ID Natural Creamy Paneer 200g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40240177_1-delight-nuts-natural-peanut-butter-unsweetened-high-in-protein-creamy-helps-manage-weight.jpg,https://www.amazon.in/dp/B0000210,4.4,1900,105,115,paneer,"Natural Peanut Butter - Unsweetened, High In Protein, Creamy, Helps Manage Weight",320.0
Amul Fresh Malai Paneer 1kg,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40251515_2-fresho-frozen-sweet-corn-preservative-free-fresh-juicy-kernels.jpg,https://www.amazon.in/dp/B0000211,4.5,4200,380,410,paneer,"Frozen Sweet Corn - Preservative Free, Fresh & Juicy Kernels",210.0
Mother Dairy Fresh Paneer Block 400g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40251515_2-fresho-frozen-sweet-corn-preservative-free-fresh-juicy-kernels.jpg,https://www.amazon.in/dp/B0000212,4.3,2800,165,176,paneer,"Frozen Sweet Corn - Preservative Free, Fresh & Juicy Kernels",210.0
Gowardhan Fresh Paneer Block 200g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40251515_2-fresho-frozen-sweet-corn-preservative-free-fresh-juicy-kernels.jpg,https://www.amazon.in/dp/B0000213,4.1,1100,82,88,paneer,"Frozen Sweet Corn - Preservative Free, Fresh & Juicy Kernels",210.0
Organic Tattva Organic Paneer Block 200g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1214810_1-bb-combo-gooddiet-quinoa-muesli-nuts-seeds-350g-jus-amazin-organic-peanut-butter-200g.jpg,https://www.amazon.in/dp/B0000214,4.3,950,135,150,paneer,GoodDiet Quinoa Muesli Nuts & Seeds 350g + Jus Amazin Organic Peanut Butter 200g,320.0
Milky Mist Premium Fresh Paneer Block 500g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1204212_3-happilo-almonds-100-natural-premium-californian.jpg,https://www.amazon.in/dp/B0000215,4.4,1500,215,230,paneer,Premium Natural Californian Almonds,210.0
Daawat Rozana Super Basmati Rice 5kg,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40225268_1-daawat-cuppa-rice-schezwan-rice-ready-in-10-minutes.jpg,https://www.amazon.in/dp/B0000216,4.1,15200,345,395,rice,Schezwan Rice - Ready In 10 Minutes,320.0
India Gate Super Basmati Rice 5kg,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1215124_1-saffola-honey-100-pure-natural-super-value-pack-2-x-300g.jpg,https://www.amazon.in/dp/B0000217,4.4,12400,640,750,rice,"Honey 100% Pure & Natural, Super Value Pack - 2 x 300g",210.0
Kohinoor Super Silver Basmati Rice 5kg,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1215124_1-saffola-honey-100-pure-natural-super-value-pack-2-x-300g.jpg,https://www.amazon.in/dp/B0000218,4.2,6200,480,550,rice,"Honey 100% Pure & Natural, Super Value Pack - 2 x 300g",210.0
Daawat Devaaya Basmati Rice 5kg,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40225268_1-daawat-cuppa-rice-schezwan-rice-ready-in-10-minutes.jpg,https://www.amazon.in/dp/B0000219,4.0,9100,320,380,rice,Schezwan Rice - Ready In 10 Minutes,320.0
India Gate Feast Rozana Basmati Rice 5kg,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40137178_1-amul-dark-chocolate-single-origin-india.jpg,https://www.amazon.in/dp/B0000220,4.2,5300,399,460,rice,"Dark Chocolate - Single Origin, India",210.0
Fortune Everyday Basmati Rice 5kg,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40108930_7-gooddiet-ancient-red-rice.jpg,https://www.amazon.in/dp/B0000221,4.1,4800,360,420,rice,Ancient Red Rice,210.0
Daawat Brown Rice Active 1kg,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40225268_1-daawat-cuppa-rice-schezwan-rice-ready-in-10-minutes.jpg,https://www.amazon.in/dp/B0000222,4.3,3100,120,150,rice,Schezwan Rice - Ready In 10 Minutes,320.0
Lal Qilla Traditional Basmati Rice 5kg,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40108930_7-gooddiet-ancient-red-rice.jpg,https://www.amazon.in/dp/B0000223,4.5,1900,899,990,rice,Ancient Red Rice,210.0
India Gate Basmati Rice Mogra 5kg,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40137178_1-amul-dark-chocolate-single-origin-india.jpg,https://www.amazon.in/dp/B0000224,3.9,4200,299,350,rice,"Dark Chocolate - Single Origin, India",210.0
Daawat Super Dubar Basmati Rice 5kg,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40225268_1-daawat-cuppa-rice-schezwan-rice-ready-in-10-minutes.jpg,https://www.amazon.in/dp/B0000225,4.2,2800,499,575,rice,Schezwan Rice - Ready In 10 Minutes,320.0
Fortune Biryani Special Basmati Rice 5kg,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40108930_7-gooddiet-ancient-red-rice.jpg,https://www.amazon.in/dp/B0000226,4.3,1800,520,599,rice,Ancient Red Rice,210.0
Kohinoor Gold Authentic Basmati Rice 5kg,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40108930_7-gooddiet-ancient-red-rice.jpg,https://www.amazon.in/dp/B0000227,4.4,1200,680,775,rice,Ancient Red Rice,210.0
India Gate Basmati Rice Mini Mogra 5kg,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40137178_1-amul-dark-chocolate-single-origin-india.jpg,https://www.amazon.in/dp/B0000228,3.8,3100,245,299,rice,"Dark Chocolate - Single Origin, India",210.0
Royal Umbrella Jasmine Rice 1kg,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1215053_1-bb-combo-bb-royal-organic-kashmir-honey-500-g-id-fresho-idly-dosa-batter-1-kg.jpg,https://www.amazon.in/dp/B0000229,4.4,950,185,220,rice,"BB Royal Organic  Kashmir Honey, 500 g + iD Fresho Idly Dosa Batter, 1 Kg",210.0
Organic India Organic Brown Rice 1kg,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40223289_2-organic-india-ayush-kwath-ilunity-booster.jpg,https://www.amazon.in/dp/B0000230,4.3,850,140,165,rice,Ayush Kwath - Immunity Booster,320.0
Egg First White Eggs 6 units,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1200587_2-cadbury-dairy-milk-chocolate-home-treats-pack-126-g-18-units.jpg,https://www.amazon.in/dp/B0000231,4.3,6200,42,48,eggs,"Chocolate Home Treats Pack, 126 g, 18 Units",210.0
Fresho Farm Fresh White Eggs 12 units,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40251515_2-fresho-frozen-sweet-corn-preservative-free-fresh-juicy-kernels.jpg,https://www.amazon.in/dp/B0000232,4.4,9100,82,96,eggs,"Frozen Sweet Corn - Preservative Free, Fresh & Juicy Kernels",320.0
Egg First Brown Eggs 6 units,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1200587_2-cadbury-dairy-milk-chocolate-home-treats-pack-126-g-18-units.jpg,https://www.amazon.in/dp/B0000233,4.2,3100,65,75,eggs,"Chocolate Home Treats Pack, 126 g, 18 Units",210.0
Fresho Farm Fresh Brown Eggs 6 units,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40251515_2-fresho-frozen-sweet-corn-preservative-free-fresh-juicy-kernels.jpg,https://www.amazon.in/dp/B0000234,4.3,4200,68,78,eggs,"Frozen Sweet Corn - Preservative Free, Fresh & Juicy Kernels",320.0
Hen Fruit White Eggs 10 units,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1200587_2-cadbury-dairy-milk-chocolate-home-treats-pack-126-g-18-units.jpg,https://www.amazon.in/dp/B0000235,4.1,2800,75,85,eggs,"Chocolate Home Treats Pack, 126 g, 18 Units",210.0
Fresho Organic Eggs 6 units,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1215053_1-bb-combo-bb-royal-organic-kashmir-honey-500-g-id-fresho-idly-dosa-batter-1-kg.jpg,https://www.amazon.in/dp/B0000236,4.5,1900,110,125,eggs,"BB Royal Organic  Kashmir Honey, 500 g + iD Fresho Idly Dosa Batter, 1 Kg",320.0
Egg First Free Range Eggs 6 units,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40251515_2-fresho-frozen-sweet-corn-preservative-free-fresh-juicy-kernels.jpg,https://www.amazon.in/dp/B0000237,4.4,1200,125,145,eggs,"Frozen Sweet Corn - Preservative Free, Fresh & Juicy Kernels",210.0
Upasna Farm Fresh White Eggs 30 units,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40251515_2-fresho-frozen-sweet-corn-preservative-free-fresh-juicy-kernels.jpg,https://www.amazon.in/dp/B0000238,4.2,1500,210,240,eggs,"Frozen Sweet Corn - Preservative Free, Fresh & Juicy Kernels",210.0
Fresho Table Eggs 30 units,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1208825_3-id-fresho-idly-dosa-batter.jpg,https://www.amazon.in/dp/B0000239,4.3,3400,215,250,eggs,Idly Dosa Batter,210.0
Hen Fruit Premium Quality Brown Eggs 10 units,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40234112_1-delight-nuts-seedless-black-raisins-afghani-premium-quality-no-cholesterol.jpg,https://www.amazon.in/dp/B0000240,4.2,1100,115,135,eggs,"Seedless Black Raisins - Afghani, Premium Quality, No Cholesterol",320.0
Tata Sampann Unpolished Chana Dal 1kg,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40162620_10-gooddiet-namkeen-snack-chana-dal-split-red.jpg,https://www.amazon.in/dp/B0000241,4.4,12400,105,120,chana dal,Roasted Chana Red Dal - Split Masala,320.0
Fortune Unpolished Chana Dal 1kg,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40162620_10-gooddiet-namkeen-snack-chana-dal-split-red.jpg,https://www.amazon.in/dp/B0000242,4.3,8500,99,115,chana dal,Roasted Chana Red Dal - Split Masala,320.0
Organic Tattva Organic Chana Dal 1kg,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40162620_10-gooddiet-namkeen-snack-chana-dal-split-red.jpg,https://www.amazon.in/dp/B0000243,4.4,4100,135,160,chana dal,Roasted Chana Red Dal - Split Masala,320.0
Tata Sampann Unpolished Chana Dal 500g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40162620_10-gooddiet-namkeen-snack-chana-dal-split-red.jpg,https://www.amazon.in/dp/B0000244,4.3,6200,56,65,chana dal,Roasted Chana Red Dal - Split Masala,320.0
24 Mantra Organic Chana Dal 1kg,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40162620_10-gooddiet-namkeen-snack-chana-dal-split-red.jpg,https://www.amazon.in/dp/B0000245,4.2,3100,125,145,chana dal,Roasted Chana Red Dal - Split Masala,320.0
Fortune Premium Chana Dal 500g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40162620_10-gooddiet-namkeen-snack-chana-dal-split-red.jpg,https://www.amazon.in/dp/B0000246,4.2,1900,52,60,chana dal,Roasted Chana Red Dal - Split Masala,320.0
Organic Tattva Organic Chana Dal 500g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1220657_1-bb-combo-royal-organic-wild-honey500gindisecrets-organic-tea-infusion-pure-tulsi34g.jpg,https://www.amazon.in/dp/B0000247,4.3,2800,72,85,chana dal,"Royal Organic Wild Honey,500g+IndiSecrets Organic Tea-Infusion, Pure Tulsi,34g",320.0
Rajdhani Chana Dal 1kg,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40162620_10-gooddiet-namkeen-snack-chana-dal-split-red.jpg,https://www.amazon.in/dp/B0000248,4.1,4900,98,110,chana dal,Roasted Chana Red Dal - Split Masala,320.0
More Premium Chana Dal 1kg,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40162620_10-gooddiet-namkeen-snack-chana-dal-split-red.jpg,https://www.amazon.in/dp/B0000249,4.0,1500,95,105,chana dal,Roasted Chana Red Dal - Split Masala,320.0
Reliance Pure Chana Dal 1kg,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1215395_2-daadis-moong-dal-pista-laddoo-made-in-pure-ghee.jpg,https://www.amazon.in/dp/B0000250,4.0,1100,92,105,chana dal,Moong Dal Pista Laddoo - Made In Pure Ghee,320.0
Colgate Strong Teeth Anticavity Toothpaste 500g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1202071_1-bb-royal-almondbadam-californian-500g-cashewkaju-whole-500g.jpg,https://www.amazon.in/dp/B0000251,4.4,18500,215,240,toothpaste,Almond/Badam Californian 500g + Cashew/Kaju Whole 500g,210.0
Sensodyne Fresh Mint Sensitive Toothpaste 150g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40251515_2-fresho-frozen-sweet-corn-preservative-free-fresh-juicy-kernels.jpg,https://www.amazon.in/dp/B0000252,4.5,12400,195,220,toothpaste,"Frozen Sweet Corn - Preservative Free, Fresh & Juicy Kernels",210.0
Close Up Everfresh Red Hot Gel Toothpaste 150g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/266639_16-close-up-everfresh-anti-germ-gel-toothpaste-red-hot.jpg,https://www.amazon.in/dp/B0000253,4.3,9100,88,100,toothpaste,Everfresh+ Anti-Germ Gel Toothpaste - Red Hot,270.0
Colgate MaxFresh Spicy Red Gel Toothpaste 150g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40167619_6-gooddiet-quinoa-puffs-spicy-garlic.jpg,https://www.amazon.in/dp/B0000254,4.4,8200,92,105,toothpaste,Quinoa Puffs - Spicy Garlic,210.0
Pepsodent 2-in-1 Cavity Protection Toothpaste 150g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40125873_4-maggi-2-minute-noodles-masala.jpg,https://www.amazon.in/dp/B0000255,4.1,4100,78,90,toothpaste,"2-Minute Noodles Masala - Made With Quality Spices, Rich In Fibre",320.0
Dabur Red Ayurvedic Toothpaste 150g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40242232_1-cadbury-oreo-red-velvet-sandwich-biscuit-limited-edition-yuly-treat.jpg,https://www.amazon.in/dp/B0000256,4.4,6900,105,120,toothpaste,"Red Velvet Sandwich Biscuit - Limited Edition, Yummy Treat",210.0
Colgate Vedshakti Anticavity Toothpaste 200g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1221479_1-bb-combo-happychef-100-durum-wheat-pasta-spaghetti-500g-knorr-pizza-pasta-sauce-200g.jpg,https://www.amazon.in/dp/B0000257,4.2,3100,110,130,toothpaste,HappyChef 100% Durum Wheat Pasta-Spaghetti 500g & Knorr Pizza-Pasta Sauce 200g,210.0
Patanjali Dant Kanti Dental Cream 200g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/254368_17-bingo-potato-chips-cream-onion.jpg,https://www.amazon.in/dp/B0000258,4.3,5300,95,110,toothpaste,"Potato Chips - Cream & Onion, Crispy & Crunchy, Pack For Snacks",210.0
Sensodyne Rapid Relief Toothpaste 80g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1221206_1-bb-combo-rich-cocoa-dark-chocolate-bar-80-g-cranberry-dark-chocolate-bar-80-g-dark-chocolate-bar-fruit-nut-50-cocoa-rich-dessert-80-g.jpg,https://www.amazon.in/dp/B0000259,4.4,2800,165,190,toothpaste,"Bournville Rich Cocoa,80g+Bournville Cranberry,80g+Bournville Fruit & Nut,80g",210.0
Close Up Triple Fresh Gel Toothpaste 150g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40251515_2-fresho-frozen-sweet-corn-preservative-free-fresh-juicy-kernels.jpg,https://www.amazon.in/dp/B0000260,4.2,1900,85,95,toothpaste,"Frozen Sweet Corn - Preservative Free, Fresh & Juicy Kernels",210.0
Colgate Total Charcoal Deep Clean Toothpaste 120g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/266112_17-maggi-2-minute-instant-noodles-masala.jpg,https://www.amazon.in/dp/B0000261,4.3,1500,125,145,toothpaste,2-Minute Instant Noodles - Masala,150.0
Dabur Meswak Herbal Toothpaste 200g,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/1221479_1-bb-combo-happychef-100-durum-wheat-pasta-spaghetti-500g-knorr-pizza-pasta-sauce-200g.jpg,https://www.amazon.in/dp/B0000262,4.4,2400,115,130,toothpaste,HappyChef 100% Durum Wheat Pasta-Spaghetti 500g & Knorr Pizza-Pasta Sauce 200g,210.0
Head & Shoulders Cool Menthol Shampoo 650ml,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/266112_17-maggi-2-minute-instant-noodles-masala.jpg,https://www.amazon.in/dp/B0000263,4.4,14200,490,550,shampoo,2-Minute Instant Noodles - Masala,150.0
Dove Intense Repair Shampoo 650ml,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/266112_17-maggi-2-minute-instant-noodles-masala.jpg,https://www.amazon.in/dp/B0000264,4.5,12400,480,540,shampoo,2-Minute Instant Noodles - Masala,150.0
L'Oreal Paris Total Repair 5 Shampoo 650ml,grocery & gourmet foods,All Grocery,https://www.bigbasket.com/media/uploads/p/l/40019376_11-cadbury-5-star-chocolate-home-pack.jpg,https://www.amazon.in/dp/B0000265,4.4,9800,520,599,shampoo,5 Star Chocolate Home Pack,210.0
